login,n,name,blog
arisp99,1,NA,NA
bradisbrad,1,Brad Hill,www.bradisblogging.com
bryceroney,1,Bryce Roney,NA
cedricbatailler,1,Cedric Batailler,cedricbatailler.me
czeildi,1,Ildikó Czeller,https://ildiczeller.com/
davidkane9,1,David Kane,www.davidkane.info
DavZim,1,NA,https://davzim.github.io/
DCharIAA,2,NA,NA
dcossyleon,5,Desirée De Leon,https://tinystats.github.io/teacups-giraffes-and-statistics/
EmilHvitfeldt,3,Emil Hvitfeldt,https://www.emilhvitfeldt.com/
emilopezcano,2,Emilio,http://emilio.lcano.com
Fgazzelloni,1,Fgazzelloni,https://www.linkedin.com/in/fgazzelloni/
hfrick,5,Hannah Frick,http://www.frick.ws
hlynurhallgrims,2,Hlynur,NA
howardbaek,3,Howard Baek,http://insidethetv.rbind.io/
jaeyk,1,Jae Yeon Kim,https://jaeyk.github.io/
jdtrat,1,Jonathan D. Trattner,https://www.jdtrat.com
jmgirard,1,Jeffrey Girard,https://www.jmgirard.com
JohnPickering,1,John W Pickering,NA
jonthegeek,10,Jon Harmon,http://jonthegeek.com
joseph-rickert,2,Joseph B. Rickert,http://www.rstudio.com
juliasilge,238,Julia Silge,https://juliasilge.com
maxdrohde,2,Maximilian Rohde,maximilianrohde.com
michaelgrund,1,Michael Grund,
MikeJohnPage,1,NA,NA
mine-cetinkaya-rundel,1,Mine Cetinkaya-Rundel,http://mine-cr.com
mmhamdy,1,Mohammed Hamdy,NA
nattalides,1,NA,NA
PursuitOfDataScience,1,Y. Yu,https://youzhi.netlify.app/
riazhedayati,1,Riaz Hedayati,NA
RobWiederstein,1,Rob Wiederstein,www.robwiederstein.org
scottyd22,2,Scott,datascott.com
simonschoe,1,Simon Schölzel,NA
tagasimon,1,Simon Sayz,https://simonsayz.xyz
thrkng,2,NA,NA
tmstauss,4,Tanner Stauss,www.linkedin.com/in/tanner-stauss
tonyelhabr,1,Tony ElHabr,https://tonyelhabr.rbind.io/
topepo,389,Max Kuhn,NA
x1o,3,Dmitry Zotikov,NA
xiaochi-liu,3,Xiaochi,xiaochi.rbind.io
zachbogart,1,Zach Bogart,zachbogart.com
